epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,22978.3,1.23085,0.80642,1.12543,0.9384,0.94403,0.96302,0.67867,0.97929,0.77627,0.94412,0.002674,0.002674,0.002674
76,23285.2,1.22349,0.79674,1.12929,0.93567,0.93543,0.96435,0.68041,0.97849,0.77382,0.94209,0.002575,0.002575,0.002575
77,23589.5,1.2334,0.80442,1.12525,0.94018,0.94186,0.96525,0.68151,0.97553,0.77555,0.94055,0.002476,0.002476,0.002476
78,23896.9,1.21505,0.78103,1.11639,0.94369,0.94222,0.96733,0.68072,0.97297,0.77559,0.93867,0.002377,0.002377,0.002377
79,24202.2,1.21052,0.78004,1.11978,0.94469,0.94105,0.96756,0.68628,0.97047,0.76915,0.93731,0.002278,0.002278,0.002278
80,24506.7,1.22447,0.78736,1.12499,0.94839,0.93911,0.96772,0.68545,0.96757,0.76222,0.93583,0.002179,0.002179,0.002179
81,24811.7,1.1949,0.76822,1.1167,0.94541,0.93703,0.96636,0.6865,0.96664,0.76147,0.93509,0.00208,0.00208,0.00208
82,25116.8,1.18902,0.75931,1.11111,0.94322,0.94102,0.96618,0.68577,0.96571,0.75728,0.9344,0.001981,0.001981,0.001981
83,25421.1,1.19053,0.75934,1.10392,0.94441,0.94112,0.96585,0.68841,0.9637,0.7538,0.93285,0.001882,0.001882,0.001882
84,25727.1,1.19489,0.76603,1.11773,0.94004,0.94138,0.96643,0.68908,0.96224,0.75255,0.93198,0.001783,0.001783,0.001783
85,26031.7,1.176,0.75593,1.10757,0.94011,0.94138,0.9666,0.69023,0.96247,0.75266,0.9323,0.001684,0.001684,0.001684
86,26335.9,1.17735,0.75998,1.09937,0.93952,0.94273,0.96671,0.69069,0.96187,0.75098,0.93148,0.001585,0.001585,0.001585
87,26639.6,1.1861,0.764,1.10224,0.94063,0.94133,0.9671,0.69157,0.96269,0.74901,0.9312,0.001486,0.001486,0.001486
88,26946,1.16236,0.74386,1.09403,0.94063,0.94204,0.96741,0.69378,0.96227,0.74943,0.93068,0.001387,0.001387,0.001387
89,27253.3,1.1626,0.73655,1.09511,0.93766,0.94163,0.96713,0.69314,0.96083,0.74948,0.93029,0.001288,0.001288,0.001288
90,27559,1.15725,0.73633,1.09604,0.93573,0.93976,0.9672,0.69348,0.96222,0.7479,0.93081,0.001189,0.001189,0.001189
91,27880,1.10165,0.66464,1.09539,0.9373,0.94014,0.96758,0.69212,0.96292,0.74699,0.93047,0.00109,0.00109,0.00109
92,28182.1,1.08357,0.645,1.08661,0.93949,0.94078,0.96796,0.69101,0.96233,0.74574,0.93031,0.000991,0.000991,0.000991
93,28483.7,1.07174,0.63719,1.0799,0.94163,0.93943,0.96813,0.6914,0.96199,0.74276,0.92964,0.000892,0.000892,0.000892
94,28787,1.06339,0.62635,1.07408,0.94185,0.9424,0.96915,0.69363,0.96155,0.74053,0.92915,0.000793,0.000793,0.000793
95,29092.3,1.05109,0.62451,1.06866,0.94221,0.9424,0.96902,0.6929,0.96009,0.73897,0.92839,0.000694,0.000694,0.000694
96,29397.8,1.04598,0.62206,1.07178,0.94232,0.9424,0.9691,0.69316,0.95958,0.73579,0.92806,0.000595,0.000595,0.000595
97,29699.8,1.03821,0.61365,1.06852,0.94227,0.94182,0.9692,0.69503,0.95801,0.73378,0.92721,0.000496,0.000496,0.000496
98,30003.7,1.04054,0.60823,1.0669,0.94454,0.94212,0.96933,0.6964,0.95705,0.73161,0.92656,0.000397,0.000397,0.000397
99,30306.6,1.02586,0.60623,1.06156,0.94504,0.94389,0.96963,0.69543,0.95518,0.72916,0.9258,0.000298,0.000298,0.000298
100,30607.7,1.0153,0.6034,1.05451,0.94583,0.94492,0.96992,0.6959,0.9545,0.72808,0.92519,0.000199,0.000199,0.000199
