epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,18823,1.20671,0.75757,1.12345,0.94233,0.9464,0.96624,0.70152,0.95994,0.87687,0.95505,0.003466,0.003466,0.003466
68,19100.7,1.20652,0.76413,1.11642,0.94203,0.94824,0.96677,0.69987,0.96132,0.88473,0.95508,0.003367,0.003367,0.003367
69,19378.3,1.18699,0.74249,1.11224,0.94283,0.94564,0.96228,0.70143,0.95883,0.90429,0.95506,0.003268,0.003268,0.003268
70,19656.1,1.20308,0.75713,1.11221,0.94566,0.95241,0.96614,0.70279,0.95557,0.91774,0.95208,0.003169,0.003169,0.003169
71,19934,1.19428,0.74544,1.11781,0.94879,0.95546,0.9685,0.70372,0.95311,0.91684,0.9506,0.00307,0.00307,0.00307
72,20212.3,1.18736,0.73776,1.10742,0.94503,0.95503,0.96947,0.70537,0.95416,0.91716,0.95029,0.002971,0.002971,0.002971
73,20490.1,1.1757,0.73278,1.1036,0.94454,0.95351,0.9682,0.70614,0.94872,0.92426,0.94716,0.002872,0.002872,0.002872
74,20768.7,1.1561,0.7095,1.09501,0.94191,0.95156,0.96706,0.70718,0.94624,0.92153,0.94493,0.002773,0.002773,0.002773
75,21047.2,1.16856,0.71937,1.10149,0.94449,0.95017,0.96671,0.70669,0.94404,0.93046,0.94387,0.002674,0.002674,0.002674
76,21325,1.15269,0.71917,1.09458,0.94307,0.95287,0.96702,0.71141,0.9393,0.93069,0.94244,0.002575,0.002575,0.002575
77,21603.8,1.13857,0.70157,1.09002,0.94319,0.95359,0.96531,0.71391,0.93485,0.92254,0.94113,0.002476,0.002476,0.002476
78,21881.7,1.13742,0.70538,1.08676,0.94459,0.94719,0.96516,0.71526,0.93275,0.92379,0.93996,0.002377,0.002377,0.002377
79,22159,1.15232,0.70388,1.09282,0.94963,0.94509,0.96437,0.71682,0.9297,0.92627,0.93909,0.002278,0.002278,0.002278
80,22437.6,1.13005,0.69609,1.08879,0.94719,0.94829,0.96422,0.71921,0.92722,0.92547,0.93797,0.002179,0.002179,0.002179
81,22715.4,1.11661,0.67949,1.07855,0.94483,0.94667,0.96216,0.72055,0.92346,0.92776,0.93625,0.00208,0.00208,0.00208
82,22993.3,1.11552,0.67817,1.08295,0.94223,0.94485,0.96271,0.72139,0.92232,0.92635,0.93515,0.001981,0.001981,0.001981
83,23271.8,1.10768,0.67554,1.07984,0.94143,0.94635,0.96518,0.72139,0.91977,0.92222,0.93375,0.001882,0.001882,0.001882
84,23549.4,1.10628,0.67431,1.07671,0.94027,0.94579,0.96523,0.7198,0.91698,0.9163,0.9323,0.001783,0.001783,0.001783
85,23828.3,1.09653,0.67098,1.07423,0.94071,0.94342,0.96321,0.72311,0.91581,0.91381,0.93181,0.001684,0.001684,0.001684
86,24106.1,1.0918,0.66802,1.0659,0.94279,0.94364,0.9632,0.72411,0.9139,0.9127,0.9308,0.001585,0.001585,0.001585
87,24383.7,1.08182,0.65683,1.06933,0.94394,0.94342,0.96309,0.72389,0.9131,0.91213,0.93003,0.001486,0.001486,0.001486
88,24661.5,1.07267,0.65122,1.0565,0.94237,0.94491,0.96333,0.72499,0.91252,0.91292,0.92951,0.001387,0.001387,0.001387
89,24938.9,1.06938,0.65127,1.06233,0.94271,0.94653,0.96522,0.72715,0.91114,0.90877,0.92868,0.001288,0.001288,0.001288
90,25217.6,1.06062,0.64415,1.0635,0.93996,0.94505,0.96365,0.72677,0.9091,0.90884,0.92776,0.001189,0.001189,0.001189
91,25510.3,1.01803,0.58503,1.06347,0.94287,0.9418,0.96373,0.72773,0.90713,0.90899,0.92687,0.00109,0.00109,0.00109
92,25787.4,0.99396,0.56321,1.0539,0.94324,0.94193,0.96543,0.72733,0.90564,0.90926,0.92613,0.000991,0.000991,0.000991
93,26063.8,0.98812,0.55755,1.05326,0.94108,0.94193,0.96563,0.72986,0.9043,0.90727,0.9257,0.000892,0.000892,0.000892
94,26340.7,0.97145,0.54904,1.04047,0.94553,0.94429,0.96584,0.73157,0.90245,0.90609,0.92476,0.000793,0.000793,0.000793
95,26616.9,0.96966,0.5497,1.04172,0.9444,0.94444,0.96605,0.73312,0.90207,0.90306,0.92418,0.000694,0.000694,0.000694
96,26893.4,0.96362,0.54157,1.03841,0.94365,0.94444,0.96611,0.733,0.90047,0.90066,0.9237,0.000595,0.000595,0.000595
97,27169.1,0.95377,0.54564,1.04041,0.94404,0.94799,0.96659,0.73338,0.89871,0.89848,0.92297,0.000496,0.000496,0.000496
98,27445.9,0.94797,0.53672,1.03402,0.944,0.94773,0.96533,0.73418,0.89771,0.89637,0.92242,0.000397,0.000397,0.000397
99,27723.7,0.93999,0.53261,1.02965,0.94073,0.94659,0.96554,0.73502,0.89587,0.89541,0.92192,0.000298,0.000298,0.000298
100,28000.7,0.93131,0.52538,1.02381,0.94098,0.94642,0.96559,0.73668,0.89512,0.8925,0.92139,0.000199,0.000199,0.000199
